iter	Passed	Remaining
0	1	183
1	3	190
2	5	182
3	6	164
4	8	164
5	10	166
6	12	160
7	13	153
8	14	147
9	15	142
10	17	141
11	18	139
12	20	136
13	22	136
14	23	134
15	25	131
16	26	128
17	27	125
18	28	122
19	29	119
20	31	118
21	32	116
22	34	115
23	36	114
24	37	113
25	38	110
26	40	108
27	41	106
28	42	103
29	43	101
30	45	100
31	47	100
32	49	99
33	50	98
34	52	97
35	53	95
36	54	93
37	56	91
38	57	89
39	58	88
40	60	87
41	62	86
42	64	85
43	66	84
44	67	82
45	68	80
46	70	79
47	72	78
48	73	76
49	75	75
50	76	73
51	78	72
52	79	70
53	81	69
54	82	67
55	83	65
56	84	63
57	86	62
58	88	61
59	90	60
60	91	58
61	93	57
62	95	55
63	96	54
64	97	52
65	99	51
66	101	49
67	103	48
68	104	46
69	106	45
70	107	43
71	109	42
72	111	41
73	112	39
74	114	38
75	116	36
76	118	35
77	119	33
78	122	32
79	123	30
80	124	29
81	126	27
82	127	26
83	128	24
84	130	23
85	132	21
86	133	19
87	135	18
88	136	16
89	137	15
90	139	13
91	140	12
92	141	10
93	143	9
94	144	7
95	146	6
96	147	4
97	149	3
98	150	1
99	151	0
